,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,autotrail,Python
46,aws-apigateway-client-lib,
47,aws-sigv4-signing-samples,Java
48,awsssmchaosrunner,Kotlin
49,basis-point-sets,Python
50,buy-with-prime-automate-tenant-validation,JavaScript
51,buy-with-prime-event-accelerator,Python
52,buy-with-prime-oauth-handler-ec2,JavaScript
53,buy-with-prime-saas-integration,TypeScript
54,chalet-charging-location-for-electric-trucks,Python
55,computer-vision-basics-in-microsoft-excel,
56,confident-sinkhorn-allocation,Jupyter Notebook
57,convolutional-handwriting-gan,Python
58,cosearcher,Python
59,credence-to-causal-estimation,Python
60,data-jack-knife,Java
61,debiased-balanced-interleaving,Jupyter Notebook
62,differential-privacy-bayesian-optimization,Python
63,distance-assistant,Python
64,drs-sample-android-app,Java
65,drs-sample-ios-app,Objective-C
66,emukit-playground,JavaScript
67,eslint-plugin-no-date-parsing,TypeScript
68,exoplayer-amazon-port,Java
69,explainable-text-vqa,
70,faithful-data2text-cycle-training,Python
71,fashion-attribute-disentanglement,Python
72,fire-app-builder,Java
73,firetv-sample-touch-app,Java
74,ftv-livetv-sample-tv-app,Java
75,gameon-sample-game-unity,C#
76,gameon-starter-kit-unity,C#
77,git-commit-template,JavaScript
78,glad,JavaScript
79,golang-gitoperations,Go
80,halo-third-party-sdk-for-java,Java
81,halo-third-party-sdk-for-node-js,TypeScript
82,halo-third-party-sdk-for-python,Python
83,hawktracer,C++
84,image-misspell-coling2020,
85,image-to-recipe-transformers,Python
86,ion-object-mapper-dotnet,C#
87,jekyll-doc-project,HTML
88,kqr,
89,login-with-amazon-oscommerce,PHP
90,login-with-amazon-wordpress,PHP
91,merlin-on-demand-callgraph,JavaScript
92,metalearn-leap,Python
93,milan,Scala
94,multiconer-baseline,Python
95,multilingual-keyphrase-generation,Python
96,multimodal-affinities,Python
97,MXFusion,Python
98,nimbus-jose-jwt_aws-kms-extension,Java
99,node-jose_aws-kms-extension,TypeScript
100,openapi-swift-code-generate,Swift
101,orthogonal-additive-gaussian-processes,Python
102,oss-attribution-builder,TypeScript
103,oss-contribution-tracker,TypeScript
104,oss-dashboard,Ruby
105,pecos,Python
106,pretraining-or-self-training,Python
107,python-jose_aws-kms-extension,Python
108,rdma-core,C
109,refuel-open-domain-qa,Python
110,rete-thewebconf-2022,Python
111,rheoceros,Python
112,robotiq-gripper-interface,C++
113,sample-fire-tv-app-video-skill,Java
114,selling-partner-api-docs,HTML
115,selling-partner-api-models,Java
116,selling-partner-api-samples,Java
117,seqzero,Python
118,service-model-swift-code-generate,Swift
119,sketch-constructor,JavaScript
120,smoke-aws,Swift
121,smoke-aws-credentials,Swift
122,smoke-aws-generate,Swift
123,smoke-aws-support,Swift
124,smoke-dynamodb,Swift
125,smoke-framework,Swift
126,smoke-framework-application-generate,Swift
127,smoke-framework-examples,Swift
128,smoke-http,Swift
129,sparse-vqvae,Python
130,ss-aga-kgc,Python
131,sto-transformer,Python
132,style-dictionary,JavaScript
133,supply-chain-simulation-environment,Python
134,tiny-attribution-generator,TypeScript
135,trans-encoder,Python
136,user-satisfaction-modeling,Python
137,workspace-resolver,JavaScript
138,xfer,Python
139,zeek-plugin-bacnet,Zeek
140,zeek-plugin-enip,Zeek
141,zeek-plugin-profinet,Zeek
142,zeek-plugin-s7comm,Zeek
143,zeek-plugin-tds,Zeek
144,zero-shot-rlhr,Python
